Blog	fix	address	social	university	talked	comfort	direction	sold	term	kinda	taught	skin	gotta	enter	considered	orange	bill	blame	whose	besides	common	lesson	report	odd	february	effect	presents	slept	uncle	fat	trouble	sell	cost	fantastic	tells	among	restaurant	decision	colors	setting	possibly	unique	bird	article	broke	fully	included	mountain	joined	becoming	crap	tough	various	milk	soft	crowd	riding	similar	headed	miles	knowledge	cheap	remind	reminds	garden	kiss	cd	spread	till	heat	daughter	aware	album	checked	sugar	willing	goal	consider	bags	doctor	built	smiling	scene	product	cousin	performance	animal	island	shoot	losing	gifts	advice	match	heads	related	pages	grade	pants	master	eve	swimming	yours	agree	jesus	clearly	picking	language	students	national	crying	interview	fans	ladies	holidays	release	opinion	tickets	wet	lie	north	blogger	attend	vacation	failed	allow	media	halloween	digital	videos	paint	breaking	health	challenge	issue	teeth	mixed	expected	via	checking	suddenly	harder	ending	bringing	dogs	battle	inspired	seat	joke	flight	sight	official	birds	answers	neither	runs	east	artist	stone	account	projects	shut	remembered	classes	edge	festival	sets	friendly	hide	seven	magazine	career	weight	thus	episode	describe	quote	everybody	hadn	net	pizza	feelings	fellow	degrees	happiness	jack	plenty	schedule	plays	french	desk	otherwise	anniversary	success	sand	mid	begins	storm	blogs	community	path	camp	player	credit	tall	cheese	midnight	river	education	van	jobs	circle	pure	pack	powerful	balance	shots	response	available	handle	vs	boxes	lake	sees	personally	prepared	barely	training	receive	cleaning	giant	google	drinks	golden	hat	chair	research	ordered	police	finger	adventure	babies	parties	ah	sex	impossible	packed	distance	normally	feed	tune	rolling	sale	paul	terrible	becomes	calm	goodness	position	honor	musical	forgotten	hits	likely	ears	numbers	ability	wanna	press	led	boss	fighting	tight	listened	noise	tom	states	student	private	society	james	force	disappointed	text	bathroom	hearts	arm	exact	traffic	reached	sometime	guilty	rare	vote	forth	minor	em	killed	member	shower	constantly	rocks	ain	reminded	loose	confused	typical	movement	progress	plastic	review	blow	jam	jeans	grew	culture	library	pics	science	dust	beer	model	decent	san	lessons	officially	directly	selling	damn	folks	butter	staff	aside	topic	shake	signed	false	easter	fourth	cash	deserve	leading	higher	copy	birth	surgery	candy	ups	eight	paying	suit	obvious	salt	professional	youtube	mary	attended	driver	york	cooking	provide	worried	laid	valentine	couch	sisters	lets	blast	indeed	classic	shit	cancer	delicious	value	pro	mission	items	excuse	proper	toy	released	creating	piano	rough	waste	inspiration	bread	lyrics	cell	evil	lord	pulling	considering	holds	yard	faster	lying	sports	kinds	adventures	santa	download	design	painted	doors	angry	meal	visited	prefer	walks	attitude	animals	puts	rule	wore	suppose	option	windows	therefore	role	vision	clock	despite	compared	traditional	degree	avoid	faith	correct	recommend	pleasure	studio	cried	raise	solid	drama	grateful	hungry	activities	plane	target	covers	entry	accident	younger	trips	sang	awake	aunt	concept	gain	waited	bank	somebody	impressed	swing	drunk	sides	celebration	families	fool	juice	attack	walls	serve	overall	pet	curious	appear	experienced	print	hung	ipod	tag	continues	saved	nap	threw	precious	ignore	task	shirts	saving	web	adorable	ticket	tend	necessary	angel	dates	stood	falls	drawing	highly	freedom	modern	stress	bowl	q	finds	stomach
The Diary, The Thoughts ♥	0	0	1	10	9	0	1	1	0	39	6	0	3	0	2	0	0	18	1	3	0	8	8	0	1	2	1	9	20	5	1	0	4	1	1	7	20	12	0	1	0	1	6	1	4	5	1	6	9	3	3	17	0	3	1	1	0	0	9	1	3	4	2	5	1	1	0	0	20	2	2	1	1	3	0	3	5	2	1	4	3	7	7	0	2	3	0	4	1	3	0	2	14	0	1	1	2	5	3	0	1	0	4	0	2	2	18	9	0	8	8	6	0	4	1	2	1	3	11	0	0	7	5	9	0	0	0	3	0	0	0	4	4	1	0	3	1	0	2	4	1	2	3	0	2	1	4	2	2	0	0	0	1	0	1	0	0	0	6	0	3	3	5	1	1	0	4	6	0	0	1	5	8	0	1	3	1	0	5	1	1	4	0	11	1	3	11	2	1	0	1	1	4	1	0	2	2	0	0	4	5	6	1	1	3	3	0	3	2	0	0	0	1	2	0	0	0	0	2	5	0	0	0	2	5	0	5	1	2	2	2	2	1	1	1	2	4	3	3	1	2	2	21	2	5	6	2	1	1	1	5	0	3	8	3	3	0	3	2	1	3	0	0	2	3	0	29	1	0	7	8	1	0	1	0	1	2	0	1	2	0	6	1	2	0	1	0	4	17	1	4	2	0	0	1	0	0	1	1	0	5	2	0	1	1	1	0	2	1	3	0	16	0	0	2	1	3	1	0	0	2	0	1	1	0	0	0	8	1	0	1	3	2	1	1	15	0	2	3	2	5	0	5	0	0	0	6	0	0	3	0	0	3	1	2	6	3	0	2	0	2	0	3	0	0	1	0	2	0	7	0	7	2	5	1	1	0	0	1	3	1	2	1	8	0	3	1	0	12	0	0	0	0	0	6	2	4	2	0	2	0	0	1	0	7	4	7	4	0	7	0	0	0	6	4	0	0	0	5	7	3	0	3	2	4	5	2	0	1	0	2	7	1	1	3	0	5	4	7	2	0	0	7	2	0	3	1	0	0	3	17	0	5	0	0	3	2	4	0	3	3	1	1	3	7	0	0	1	3	0	0	0	5	1	3	0	0	4	8	2	5	2	3	3	1	3	2	0	1	5	2	4	0	2	1	20	2	2	0	6
Zamina	1	0	4	5	8	0	0	3	4	8	4	0	0	0	2	3	1	2	2	2	0	7	4	1	1	2	2	3	1	4	4	4	1	0	2	5	1	0	7	3	4	1	2	9	1	3	3	2	2	2	4	2	1	6	3	0	1	7	2	1	0	6	2	3	7	1	4	0	1	1	1	4	2	4	17	2	1	3	6	1	5	0	2	1	4	8	5	1	1	0	6	0	0	5	7	9	22	2	4	4	2	0	1	5	0	3	3	51	1	0	0	2	4	0	0	0	1	2	3	0	0	2	3	0	0	3	3	2	1	15	1	5	1	7	3	2	6	1	1	3	2	6	1	4	0	2	1	0	2	5	0	3	0	1	6	0	7	1	1	15	5	2	15	3	1	2	5	1	4	4	6	0	1	4	2	5	0	3	0	0	3	7	4	1	0	0	1	6	5	5	2	0	2	4	1	0	1	9	2	1	3	8	0	5	2	3	0	18	1	5	4	0	0	2	4	1	4	1	2	1	3	6	0	0	2	1	3	2	4	1	0	2	2	2	9	7	3	0	2	0	3	1	1	1	2	2	2	0	2	2	2	1	7	3	1	0	0	1	1	14	4	2	0	2	0	1	0	3	5	0	0	0	9	2	4	0	24	5	2	1	0	0	1	7	0	0	1	1	0	5	1	2	0	2	8	1	1	0	1	1	2	1	3	1	1	4	3	0	3	0	0	3	2	2	4	15	0	5	5	3	1	3	1	14	0	2	2	8	1	5	2	3	2	2	0	0	5	11	3	0	4	4	5	5	0	1	1	1	1	3	0	0	3	0	8	3	2	3	6	1	3	0	1	7	2	1	1	3	1	4	5	2	5	0	0	1	2	0	0	0	3	48	1	3	0	6	2	1	0	1	2	0	0	8	1	1	2	1	3	1	0	0	6	3	1	1	0	1	2	0	4	0	2	9	1	2	9	6	1	2	1	0	3	1	8	1	1	2	3	5	2	0	1	0	5	0	1	5	0	1	0	2	0	3	1	6	0	5	0	0	1	0	0	1	0	0	0	1	2	2	4	0	14	1	1	0	2	0	5	4	3	3	0	1	0	2	3	0	0	1	2	0	0	1	2	2	3	1	0	3	0	3	1	1	5	0	1	2	3	3
Eyelet Sage Studio	0	2	0	1	1	1	2	6	0	0	2	0	1	4	2	2	0	1	4	5	1	0	0	0	1	0	0	0	0	0	1	17	0	3	0	1	0	3	19	0	2	10	6	2	0	1	4	2	2	0	0	2	7	1	1	2	0	5	0	0	0	3	4	7	2	1	0	4	1	1	5	1	0	1	0	3	4	1	12	0	1	2	0	8	0	0	0	0	4	1	6	23	5	1	1	3	1	0	3	0	0	1	3	0	0	4	0	1	1	0	55	1	0	1	0	4	0	0	0	1	8	2	23	0	0	0	1	6	0	4	0	0	2	2	0	0	2	1	3	5	1	1	2	1	1	18	0	0	0	1	2	7	0	0	1	0	54	0	3	8	0	0	4	6	1	2	1	1	0	2	1	1	0	0	1	0	0	1	0	2	1	4	0	2	1	0	2	0	2	4	1	0	0	0	3	0	0	22	8	0	0	0	1	0	0	0	0	0	0	6	0	0	3	1	2	0	3	0	0	0	4	1	0	3	1	0	1	2	0	0	4	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	11	0	0	1	0	3	1	2	0	1	0	3	0	3	1	1	7	2	1	0	1	1	0	0	12	0	1	0	0	0	2	0	1	1	0	0	7	2	0	0	1	8	1	0	1	0	1	0	2	0	0	1	0	2	1	1	2	0	0	0	0	1	1	3	0	0	0	0	0	0	1	1	0	1	2	19	0	1	0	0	0	0	0	1	1	9	2	1	0	1	0	0	1	0	0	0	1	0	0	0	0	4	1	0	1	0	1	1	1	0	3	0	0	2	1	1	0	1	0	0	1	2	0	0	38	0	0	0	0	7	0	1	0	36	1	0	0	0	0	0	3	0	1	0	0	1	2	0	0	0	46	1	1	1	0	2	0	0	0	1	1	0	0	2	3	1	1	0	1	0	1	0	2	2	0	1	1	3	9	32	0	0	1	0	2	0	2	0	4	4	6	0	0	2	0	0	1	4	2	0	1	0	1	1	0	0	0	0	0	0	0	2	0	1	2	4	0	0	5	0	1	5	1	1	0	0	3	0	0	1	1	7	9	0	1	0	0	0	0	0	10	3	0	2	0	0	0	12	0
Hurple Hoopla	2	6	3	4	1	0	4	16	3	3	2	1	4	5	5	1	8	2	4	3	0	0	4	11	6	2	3	4	0	3	4	5	7	8	3	11	1	2	2	5	4	3	4	8	11	3	6	0	3	6	8	2	16	2	1	12	0	4	3	6	3	18	0	1	4	0	86	4	2	6	4	1	213	1	1	2	2	4	0	60	0	0	3	5	0	21	5	1	7	1	0	2	3	15	2	2	0	2	5	0	0	2	1	0	7	2	1	0	2	1	5	30	0	0	64	0	4	4	1	2	3	2	1	0	6	7	0	9	1	0	5	3	0	11	0	8	4	6	1	17	4	5	1	2	6	1	2	9	2	1	8	0	3	4	5	3	29	7	0	1	4	3	1	2	5	12	4	4	5	11	19	2	8	3	4	3	17	4	3	2	0	5	2	1	7	8	2	13	6	6	3	4	6	2	5	10	1	1	3	3	1	17	3	3	0	4	5	4	10	11	2	12	5	12	2	1	6	8	0	3	6	5	3	2	1	3	1	4	2	5	2	0	2	3	1	1	1	6	1	10	1	1	5	1	7	5	0	1	1	18	13	15	19	0	6	0	6	4	0	34	10	15	2	3	7	13	2	9	3	3	2	2	7	4	19	13	1	3	3	1	7	1	4	2	4	1	5	5	3	2	0	7	7	3	8	1	7	7	4	2	3	10	0	1	1	11	7	0	4	20	2	0	1	2	9	0	1	6	1	0	2	6	0	2	0	4	8	8	0	0	0	6	2	3	1	1	0	3	8	6	3	5	14	4	0	6	0	1	4	1	3	1	0	0	4	1	0	5	0	2	0	3	0	2	0	1	0	4	14	3	0	0	3	2	2	5	4	7	2	44	5	13	3	3	1	0	21	2	4	1	1	0	1	1	1	4	0	0	7	2	2	5	3	2	4	1	1	1	1	7	2	0	2	0	0	3	2	2	7	4	4	1	4	9	6	5	1	2	3	3	18	0	3	4	2	1	0	0	4	8	8	5	5	0	1	2	0	0	16	3	0	0	11	3	1	0	4	0	1	2	0	7	2	4	12	4	1	5	0	3	9	3	2	5	4	1	1	2	3	4	0	0	5	0	3	1	10	1	0	3	3	1	2	6	20	1	1	0	7	0
April Showers	3	0	7	0	8	2	1	2	0	0	2	1	5	2	0	2	0	2	0	1	3	4	4	0	4	2	7	6	8	1	1	6	3	12	0	1	6	4	2	0	3	1	1	1	5	0	0	7	3	2	1	1	0	4	2	5	6	3	25	5	0	1	0	0	1	2	0	0	5	0	1	0	0	9	2	6	4	1	11	14	0	2	0	7	16	4	0	3	0	0	6	1	1	2	0	0	0	4	1	5	5	0	5	5	0	0	4	0	0	7	2	0	1	4	1	0	5	5	0	1	0	3	6	2	1	1	9	1	2	0	5	1	1	1	6	2	1	1	4	1	3	0	1	2	0	1	3	1	18	1	0	0	1	2	2	0	0	1	2	4	0	0	3	0	7	0	3	1	8	1	0	5	0	0	1	1	0	5	0	7	1	0	7	2	0	7	0	3	1	3	2	11	0	3	1	1	2	0	0	1	0	0	4	2	9	2	0	0	1	2	2	0	3	1	3	6	0	1	3	0	2	15	8	2	2	4	6	1	1	7	2	11	2	3	3	3	9	3	1	0	5	2	0	1	0	3	1	3	2	0	3	6	0	1	0	0	4	1	2	1	0	0	2	0	1	0	0	0	0	2	0	2	2	3	0	0	1	0	6	3	1	6	1	1	1	2	1	0	0	2	3	2	2	1	42	0	1	2	1	1	1	2	2	2	2	0	0	2	1	1	0	0	2	4	0	1	18	0	0	0	0	2	15	1	4	0	2	0	0	2	0	0	1	4	3	43	9	4	1	0	2	1	0	4	2	5	0	5	5	0	1	6	1	0	0	4	0	4	0	0	1	2	5	4	2	1	14	0	1	0	0	5	2	1	4	3	2	1	3	0	1	0	4	0	0	3	2	3	0	1	2	4	2	1	0	2	3	3	4	12	1	2	2	1	0	1	6	0	7	0	4	3	0	0	2	4	1	3	0	0	0	4	3	0	1	2	2	0	2	3	0	0	0	5	3	20	0	1	11	1	0	0	2	5	3	0	0	20	2	1	6	3	0	2	2	1	0	1	0	3	2	0	0	1	1	0	2	3	2	1	8	3	5	1	3	11	3	2	0	1	0	1	0	13	1	3	1	0	3	1	4	0	1	3	2	4	1	0	0	2
Buckaroo's Bazaar	9	4	5	0	0	2	2	2	3	0	0	1	0	3	2	0	50	0	2	5	1	0	4	2	1	2	0	0	1	0	0	7	3	1	2	3	0	2	0	1	0	2	1	3	2	1	0	3	1	1	0	1	9	0	0	0	2	3	2	1	3	0	1	0	0	1	1	3	4	0	0	1	1	2	0	1	3	2	0	38	1	0	2	1	1	7	0	3	2	2	1	0	0	1	3	3	1	2	7	0	0	0	1	0	0	2	2	1	6	0	0	2	0	3	2	3	1	0	0	6	0	5	1	3	0	6	7	12	4	0	0	2	8	3	0	0	1	7	5	1	0	0	5	2	4	0	2	0	1	2	1	0	2	1	0	1	3	1	0	2	0	0	0	0	1	1	2	1	2	3	1	0	5	8	0	1	2	7	4	1	0	4	3	1	2	6	3	1	1	1	6	6	2	0	0	3	3	0	0	3	1	0	0	0	0	5	3	2	0	0	0	0	0	1	0	3	1	7	0	1	1	1	2	1	1	2	2	0	1	2	2	3	0	1	0	0	4	0	0	4	0	1	0	0	9	2	1	0	1	1	5	12	1	0	2	0	0	1	1	0	2	0	8	0	2	7	0	2	2	0	6	0	0	1	1	0	1	3	4	2	2	0	3	0	0	1	2	3	1	3	0	2	7	2	1	0	0	3	0	0	2	0	0	3	1	1	2	10	0	0	1	0	0	1	0	0	1	8	1	0	2	2	5	0	0	4	2	0	2	0	0	4	0	0	5	0	1	0	3	0	2	0	0	0	1	0	1	0	1	0	0	3	4	0	2	1	0	4	0	4	1	0	1	0	1	1	2	3	2	0	0	0	2	2	8	4	1	1	2	5	1	0	3	0	1	1	0	1	0	0	3	1	2	4	1	0	0	1	0	1	0	5	0	4	0	0	0	2	2	0	0	1	0	1	0	0	3	1	2	1	0	0	0	1	1	0	0	0	2	0	2	0	2	1	0	1	1	2	1	1	0	0	0	0	3	0	1	0	6	0	1	3	1	1	4	0	1	0	2	0	0	0	1	1	4	0	0	3	0	3	0	0	0	5	0	0	0	1	0	3	0	1	21	0	0	3	0	0	0	2	0	6	1	0	1	1	0	20	4	0
F-Measure	1	1	5	0	1	1	6	1	9	3	3	7	4	1	13	5	10	8	12	1	9	1	1	5	0	10	3	2	3	1	1	2	1	0	8	2	2	3	0	3	8	7	2	5	12	3	8	4	4	5	0	2	33	4	10	2	3	33	0	8	7	2	9	6	6	5	38	0	5	1	1	3	8	1	3	1	1	13	0	0	4	2	20	5	2	7	2	12	3	3	0	4	3	5	8	3	0	1	1	1	1	3	5	3	14	2	0	1	1	0	6	21	3	0	65	5	2	0	5	2	0	0	1	5	1	2	0	6	36	1	3	0	1	9	0	2	1	10	4	0	11	3	0	0	3	11	0	5	2	1	27	2	1	16	0	1	22	9	3	3	2	2	0	2	2	4	4	2	12	2	21	0	7	4	17	5	3	3	2	0	3	5	0	0	3	3	0	5	9	1	12	1	26	0	40	6	0	1	2	1	1	4	7	3	0	13	1	2	13	1	0	3	0	8	12	1	0	29	0	15	0	4	0	1	1	5	0	6	0	3	4	1	5	2	0	4	2	6	0	0	0	0	4	17	1	0	2	6	0	5	6	2	10	7	9	0	0	0	9	15	94	11	4	2	2	1	12	9	2	0	0	2	13	4	9	5	0	14	2	25	9	7	0	3	2	0	1	0	2	5	3	7	1	1	10	100	1	10	0	0	4	11	4	1	1	12	7	0	0	195	0	13	3	0	9	1	0	0	10	2	1	11	2	2	4	5	2	0	2	0	3	7	1	0	2	6	1	16	27	5	1	12	30	1	0	11	4	11	3	1	13	1	3	178	7	2	0	3	0	1	0	5	6	0	1	0	1	3	28	3	1	0	2	2	3	1	1	5	1	157	2	3	2	5	1	1	59	3	4	3	1	5	1	1	3	4	2	9	4	1	5	2	0	0	3	0	1	4	0	7	0	1	5	3	12	4	0	0	3	5	0	25	5	5	0	1	0	0	5	3	103	0	3	11	0	1	2	1	2	4	42	12	3	0	1	5	0	0	11	4	1	0	5	2	2	8	13	3	0	0	1	1	3	2	0	2	1	16	3	17	0	4	0	5	0	0	0	1	7	0	1	1	20	0	0	1	7	5	1	0	8	1	6	4	11	0	12	4	4	0
camp RAMEN noodle	1	0	0	0	0	0	0	0	0	2	0	0	3	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	2	0	0	1	0	2	0	0	0	0	1	1	0	0	0	2	3	0	3	0	0	1	0	0	0	1	0	1	0	2	0	0	3	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	3	0	1	1	1	0	2	1	0	0	1	0	0	0	0	0	3	0	3	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	1	0	1	3	0	0	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	2	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	1	21	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	6	0	0	0	1	19	0	0	3	0	0	1	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	4	1	0	0	2	0	0	0	1	0	1	1	0	2	0	1	24	0	0	0	2	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	12	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	1	0	0	0	4	0	0	0	0	0	1	1	0	1	0	0	3	0	1	0
LOOPALEEP	9	3	7	17	1	0	10	9	8	3	0	5	9	1	6	4	6	7	2	48	15	5	7	13	4	10	6	1	2	8	7	11	10	6	9	4	2	3	24	5	4	17	8	36	11	7	3	2	5	7	12	8	7	3	10	8	15	8	4	4	4	5	17	30	0	3	5	11	3	2	4	2	60	1	2	5	10	7	8	0	5	5	24	18	2	13	6	4	29	2	6	4	6	9	6	6	1	7	4	4	3	8	13	3	3	5	6	7	12	3	9	11	19	7	16	4	1	6	7	6	3	2	4	5	2	18	11	13	87	5	9	14	7	24	3	12	7	249	11	2	7	9	7	10	20	27	3	9	12	2	78	4	2	1	7	8	72	8	5	11	5	1	8	5	8	2	14	8	12	20	15	6	6	12	3	7	4	1	12	3	6	0	2	0	12	1	4	19	21	4	7	2	23	2	6	7	6	15	7	2	5	14	12	2	3	14	8	2	16	15	6	11	4	4	5	9	4	13	3	45	2	5	4	2	5	2	5	6	7	16	18	9	9	5	1	8	0	5	5	8	6	5	2	33	10	6	0	0	3	20	12	4	13	1	8	3	2	4	3	14	6	5	4	0	6	9	8	4	11	3	7	5	4	7	6	11	26	3	8	68	5	6	13	4	2	0	0	6	5	4	2	4	7	2	2	3	10	6	13	4	8	4	3	9	6	4	5	0	20	13	10	9	7	15	14	3	7	11	3	10	28	8	9	5	6	2	4	24	5	3	3	0	6	4	16	3	3	1	8	5	5	11	13	6	8	4	3	9	14	6	3	0	7	59	4	0	2	24	5	2	1	7	2	4	4	13	5	2	40	23	2	7	12	6	7	5	3	3	9	21	7	9	1	4	22	2	12	2	7	3	1	1	7	6	5	5	18	1	5	0	31	22	2	0	4	3	1	4	2	4	12	5	6	2	6	6	4	3	7	6	2	2	3	10	6	7	1	3	1	2	18	5	14	26	5	4	1	1	0	4	11	3	4	4	4	2	6	1	48	2	3	12	12	11	4	13	0	1	3	6	1	9	3	2	9	0	3	4	3	9	2	3	8	8	1	1	5	3	8	5	27	4	24	1	7	4	1	5	6	4	5	2	3	10	12	1	18	4	4	2
idle random thoughts	8	4	5	2	6	6	4	6	8	29	4	2	19	3	4	13	13	9	2	8	5	2	5	11	19	1	1	31	2	4	4	2	20	10	11	12	0	26	6	8	29	3	1	1	3	4	6	4	4	6	26	1	55	5	1	2	4	3	51	18	1	1	8	6	7	5	4	2	126	21	4	4	28	16	18	1	47	13	4	44	4	2	2	8	2	5	0	26	5	3	21	3	1	0	5	35	1	3	3	14	2	3	4	0	0	18	0	8	16	2	1	2	5	10	1	5	10	7	5	6	2	16	31	2	13	9	16	11	2	13	1	13	55	21	0	10	8	7	17	30	3	3	0	1	2	3	3	0	1	4	8	1	20	2	1	2	5	2	4	30	11	4	27	5	4	2	6	1	8	2	2	14	32	8	11	1	0	16	9	7	5	0	3	2	1	30	29	0	3	27	8	5	1	0	11	20	15	10	6	4	16	1	3	0	14	14	5	8	2	3	5	0	22	0	21	33	3	11	8	0	23	12	2	5	2	3	9	4	45	1	1	5	0	3	8	4	16	1	1	13	0	3	3	1	3	35	7	18	4	0	3	14	3	3	1	7	22	4	2	0	8	8	15	1	5	9	1	5	2	18	7	3	0	1	3	3	5	2	17	0	12	2	6	13	0	14	9	9	1	17	8	6	0	3	2	2	4	6	30	2	0	0	5	1	2	1	6	46	1	2	4	9	6	2	1	1	24	0	1	15	1	16	22	2	1	5	1	21	3	7	10	4	7	3	24	2	15	4	1	0	7	1	3	2	2	4	20	8	8	6	5	4	5	0	1	5	8	0	23	8	3	1	6	29	0	0	2	6	4	2	3	1	2	2	6	40	7	4	2	2	26	1	6	5	5	3	0	1	5	1	3	22	4	6	3	4	0	0	23	11	3	22	4	4	2	7	8	1	8	8	0	3	4	4	2	11	7	3	0	3	10	39	6	6	0	8	1	2	1	3	24	3	2	3	6	16	6	9	0	21	0	11	2	0	2	2	13	1	4	5	6	8	0	4	7	3	2	3	4	1	2	2	3	0	6	3	1	7	10	16	4	7	2	8	2	31	8	4	2	10	1	2	2	5	9	7	3	0	1	1	4	2	1	8	5	21	1	3	4	4
The Center of What?	5	5	8	11	8	6	9	3	3	17	4	8	14	1	1	10	5	4	1	11	10	4	1	1	1	5	1	2	0	6	4	4	2	6	5	4	9	3	3	2	5	3	1	3	8	7	2	17	0	7	10	5	5	9	3	6	18	3	2	4	4	8	7	0	0	0	8	1	3	2	1	2	16	2	1	0	4	3	4	8	0	4	9	2	2	0	3	3	1	7	3	2	1	3	2	6	6	21	4	3	3	1	1	8	1	3	8	15	6	4	2	0	1	3	3	3	3	8	11	6	4	0	1	3	2	3	1	2	3	5	4	5	0	2	3	1	1	5	2	7	0	0	1	6	2	1	19	7	10	5	3	2	5	2	1	8	3	3	6	1	6	6	18	2	1	2	2	11	3	5	1	1	0	6	2	7	3	3	2	2	6	4	6	5	5	4	4	2	16	8	4	0	2	2	2	1	1	3	1	3	1	5	1	1	5	8	1	2	1	3	2	3	1	2	2	0	6	4	2	0	6	1	0	1	4	12	5	0	5	5	10	2	3	3	5	12	3	4	1	2	6	1	7	14	6	1	12	3	4	2	1	0	4	4	6	5	1	3	4	1	5	5	6	11	6	3	38	3	1	3	7	7	5	4	0	2	16	1	4	1	4	0	11	13	1	5	2	6	0	2	1	1	2	1	1	7	8	1	10	5	4	9	6	5	2	1	5	5	6	3	3	4	4	1	2	8	1	3	1	14	4	2	3	8	1	2	4	19	5	3	0	3	4	3	5	6	0	0	4	3	7	2	2	1	4	9	4	4	5	4	1	2	5	4	3	0	8	1	3	3	5	0	0	3	0	5	3	3	0	124	4	1	5	0	0	0	6	4	0	0	2	2	5	4	2	7	3	8	2	19	0	1	5	1	8	10	2	1	2	6	3	0	1	1	2	1	1	2	2	0	2	0	0	1	4	2	5	2	2	4	2	2	1	2	2	9	2	3	0	4	2	1	1	6	3	2	8	3	2	2	1	2	1	1	3	0	23	2	2	2	1	5	3	0	0	16	3	0	2	2	3	2	2	0	1	1	1	3	3	0	4	1	0	1	4	1	3	1	16	2	10	4	7	0	5	5	2	0	1	0	2	0	2	7	2	2	1	4	0	8
Loquaciousness	3	4	20	20	1	4	6	10	9	1	2	5	1	4	3	5	5	4	1	5	4	3	4	12	6	2	4	11	7	4	3	0	5	45	1	4	37	4	11	8	5	5	7	5	4	7	10	30	15	8	3	7	10	10	7	11	10	6	9	17	5	6	7	1	16	0	2	6	0	14	2	1	16	4	16	1	4	11	11	0	5	2	13	4	2	13	4	17	4	4	10	6	3	3	6	3	4	5	5	4	5	7	6	0	4	5	10	56	19	0	4	3	25	6	2	7	2	3	6	42	6	6	6	3	7	11	6	2	6	12	9	7	7	11	2	8	1	7	4	5	2	5	6	7	5	11	4	2	12	2	5	11	1	1	2	20	10	7	5	2	1	2	29	5	18	4	11	1	8	12	15	8	8	0	2	4	0	3	1	8	1	1	19	8	3	3	6	2	55	6	16	6	3	8	11	0	3	4	21	3	4	9	7	4	29	3	14	5	5	3	4	6	7	5	6	10	0	9	5	1	5	56	1	3	10	8	5	8	7	21	5	15	8	7	2	13	21	7	27	17	0	4	9	1	0	10	5	6	5	1	4	2	7	11	2	2	7	4	3	4	3	2	4	2	2	3	0	4	2	2	4	2	6	3	9	13	32	1	10	3	5	4	3	6	4	2	0	5	1	1	2	3	0	6	4	1	1	5	2	10	7	1	8	10	2	12	6	5	4	10	3	13	7	2	25	8	1	9	3	18	2	7	7	7	7	3	6	9	2	22	11	21	2	7	4	2	3	7	1	1	6	6	1	4	3	4	2	4	7	5	5	7	12	4	13	6	4	49	29	4	3	2	4	5	3	0	10	1	4	3	7	32	6	4	3	2	9	6	0	4	3	1	5	2	3	21	2	2	1	0	5	6	1	4	1	1	7	1	10	0	2	6	9	2	1	28	24	12	3	0	3	0	0	9	9	1	3	2	2	2	0	27	3	16	9	3	1	2	9	8	7	3	0	9	1	5	3	9	3	5	1	1	3	4	7	2	7	6	7	6	3	8	1	4	3	4	6	3	24	5	6	0	17	7	6	3	4	4	4	1	7	7	2	7	3	2	2	1	3	1	3	1	8	5	8	15	8	1	3	0	4	0	6	2	6	9	11	0	2	11
